Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
AL478	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	12/19/2018					6/24/2016	LADDER	PLATFORM	
AL479	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	12/19/2018					7/11/2016	LADDER	PLATFORM	
AL480	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1043.0 (AMPAM) (Responsible: Unassigned)	7/6/2018					7/11/2016	LADDER	PLATFORM	
AL485	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1181.0 (AMPAM) (Responsible: Unassigned)	9/11/2017					9/11/2017	LADDER	PLATFORM	
AL489	4' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1053.0 (AMPAM) (Responsible: Unassigned)	9/12/2017				Lost	7/29/2016	LADDER	PLATFORM	
AL491	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	9/19/2018					6/24/2016	LADDER	PLATFORM	
AL492	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	1/14/2019					6/24/2016	LADDER	PLATFORM	
AL493	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	9/20/2018					7/26/2016	LADDER	PLATFORM	
AL494	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									7/14/2016	LADDER	PLATFORM	
AL497	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	9/20/2018					7/6/2016	LADDER	PLATFORM	
AL501	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	1/16/2019					7/9/2016	LADDER	PLATFORM	
AL503	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1173.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					7/6/2016	LADDER	PLATFORM	
AL504	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/3/2018					7/6/2016	LADDER	PLATFORM	
AL505	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	6/27/2018					6/27/2016	LADDER	PLATFORM	
AL507	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1219.0 (AMPAM) (Responsible: Unassigned)	11/15/2018					7/19/2016	LADDER	PLATFORM	
AL508	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1198.0 (AMPAM) (Responsible: Unassigned)	6/1/2018					7/14/2016	LADDER	PLATFORM	
AL518	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1142.0 (AMPAM) (Responsible: Unassigned)	3/13/2018					6/18/2016	LADDER	PLATFORM	
AL520	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	1/4/2018					7/7/2016	LADDER	PLATFORM	
AL521	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1136.0 (AMPAM) (Responsible: Unassigned)	2/15/2017					7/16/2016	LADDER	PLATFORM	
AL522	6' PLATFORM LADDER                 In Service: 09/03/2015		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1202.0 VALENTIN (AMPAM) (Responsible: Unassigned)	7/3/2018					7/1/2016	LADDER	PLATFORM	
AL525	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1152.0 (AMPAM) (Responsible: Unassigned)	5/4/2018					7/1/2016	LADDER	PLATFORM	
AL526	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					6/24/2016	LADDER	PLATFORM	
AL527	6' PLATFORM LADDER                 In Service: 08/20/2015		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1111.0 (AMPAM) (Responsible: Unassigned)	9/28/2017					7/1/2016	LADDER	PLATFORM	
AL529	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	12/19/2018					7/5/2016	LADDER	PLATFORM	
AL532	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									7/16/2016	LADDER	PLATFORM	
AL533	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/3/2018					6/24/2016	LADDER	PLATFORM	
AL535	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1249.0 (AMPAM) (Responsible: Unassigned)	8/3/2018					7/11/2016	LADDER	PLATFORM	
AL537	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1214.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					7/11/2016	LADDER	PLATFORM	
AL538	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					7/11/2016	LADDER	PLATFORM	
AL539	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1208.0 (AMPAM) (Responsible: Unassigned)	1/22/2019					7/11/2016	LADDER	PLATFORM	
AL540	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1039.0 (AMPAM) (Responsible: Unassigned)	7/11/2016				Lost	7/11/2016	LADDER	PLATFORM	
AL541	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1173.0 (AMPAM) (Responsible: Unassigned)	5/4/2018					8/20/2016	LADDER	PLATFORM	
AL543	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					7/11/2016	LADDER	PLATFORM	
AL544	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1245.0 (AMPAM) (Responsible: Unassigned)	7/25/2018					7/25/2018	LADDER	PLATFORM	
AL545	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					6/28/2017	LADDER	PLATFORM	
AL546	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1245.0 (AMPAM) (Responsible: Unassigned)	9/28/2018					7/1/2016	LADDER	PLATFORM	
AL547	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	5/31/2018					7/1/2016	LADDER	PLATFORM	
AL548	6' PLATFORM LADDER                 In Service: 09/03/2015		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	7/2/2018					7/1/2016	LADDER	PLATFORM	
AL549	6' PLATFORM LADDER                 In Service: 09/03/2015		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1249.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					7/1/2016	LADDER	PLATFORM	
AL556	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					6/30/2016	LADDER	PLATFORM	
AL557	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)								Broken	6/30/2016	LADDER	PLATFORM	
AL558	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	6/1/2018					6/30/2016	LADDER	PLATFORM	
AL561	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	5/4/2018					6/30/2016	LADDER	PLATFORM	
AL562	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	12/19/2018					7/18/2016	LADDER	PLATFORM	
AL564	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					11/8/2018	LADDER	PLATFORM	
AL576	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	1/14/2019					6/28/2016	LADDER	PLATFORM	
AL577	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1153.0 (AMPAM) (Responsible: Unassigned)	12/5/2018					6/28/2016	LADDER	PLATFORM	
AL578	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1133.0 (AMPAM) (Responsible: Unassigned)	6/29/2017					6/28/2016	LADDER	PLATFORM	
AL579	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1202.0 VALENTIN (AMPAM) (Responsible: Unassigned)	4/20/2018					6/28/2016	LADDER	PLATFORM	
AL581	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1112.0 (AMPAM) (Responsible: Unassigned)	7/2/2018					6/28/2016	LADDER	PLATFORM	
AL582	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1249.0 (AMPAM) (Responsible: Unassigned)	9/20/2018					7/23/2016	LADDER	PLATFORM	
AL584	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1081.0 (AMPAM) (Responsible: Unassigned)	9/23/2016				Lost	7/19/2016	LADDER	PLATFORM	
AL585	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1181.0 (AMPAM) (Responsible: Unassigned)	9/11/2017					7/19/2016	LADDER	PLATFORM	
AL586	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1133.0 (AMPAM) (Responsible: Unassigned)	6/26/2017					7/19/2016	LADDER	PLATFORM	
AL588	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1043.0 (AMPAM) (Responsible: Unassigned)	10/14/2016				Lost	7/19/2016	LADDER	PLATFORM	
AL589	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	9/11/2018					9/22/2016	LADDER	PLATFORM	
AL591	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1133.0 (AMPAM) (Responsible: Unassigned)	6/29/2017					7/19/2016	LADDER	PLATFORM	
AL592	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1198.0 (AMPAM) (Responsible: Unassigned)	10/3/2018					7/9/2016	LADDER	PLATFORM	
AL594	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1133.0 (AMPAM) (Responsible: Unassigned)	6/26/2017					9/16/2016	LADDER	PLATFORM	
AL596	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	11/9/2018					7/9/2016	LADDER	PLATFORM	
AL597	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	12/21/2018					7/9/2016	LADDER	PLATFORM	
AL598	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									7/7/2016	LADDER	PLATFORM	
AL599	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1152.0 (AMPAM) (Responsible: Unassigned)	4/26/2018				Lost	7/9/2016	LADDER	PLATFORM	
AL600	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1043.0 (AMPAM) (Responsible: Unassigned)	10/14/2016					7/7/2016	LADDER	PLATFORM	
AL601	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	5/24/2018					7/9/2016	LADDER	PLATFORM	
AL602	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1151.0 (AMPAM) (Responsible: Unassigned)	5/11/2018					7/7/2016	LADDER	PLATFORM	
AL603	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1116.0 (AMPAM) (Responsible: Unassigned)	7/11/2018					7/9/2016	LADDER	PLATFORM	
AL604	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	10/24/2017				Lost	7/5/2016	LADDER	PLATFORM	
AL605	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1220.0 (AMPAM) (Responsible: Unassigned)	3/4/2019					7/5/2016	LADDER	PLATFORM	
AL606	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1069.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/5/2016	LADDER	PLATFORM	
AL607	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1004.0FINISH (AMPAM) (Responsible: Unassigned)	7/18/2016				Lost	7/18/2016	LADDER	PLATFORM	
AL608	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1043.0 (AMPAM) (Responsible: Unassigned)	10/14/2016				Lost	6/27/2016	LADDER	PLATFORM	
AL609	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1146.0 (AMPAM) (Responsible: Unassigned)	6/21/2017				Lost	6/27/2016	LADDER	PLATFORM	
AL610	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	9/11/2018					6/27/2016	LADDER	PLATFORM	
AL611	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	12/19/2018					6/27/2016	LADDER	PLATFORM	
AL612	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1208.0 (AMPAM) (Responsible: Unassigned)	12/6/2018					6/27/2016	LADDER	PLATFORM	
AL613	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1043.0 (AMPAM) (Responsible: Unassigned)	10/14/2016				Lost	6/27/2016	LADDER	PLATFORM	
AL615	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1064.0 (AMPAM) (Responsible: Unassigned)	6/27/2016				Lost	6/27/2016	LADDER	PLATFORM	
AL616	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1181.0 (AMPAM) (Responsible: Unassigned)	2/27/2018					7/16/2016	LADDER	PLATFORM	
AL618	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1150.0 (AMPAM) (Responsible: Unassigned)	8/8/2018					7/13/2016	LADDER	PLATFORM	
AL619	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1208.0 (AMPAM) (Responsible: Unassigned)	1/22/2019					7/13/2016	LADDER	PLATFORM	
AL620	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1085.0 (AMPAM) (Responsible: Unassigned)	7/13/2016				Lost	7/13/2016	LADDER	PLATFORM	
AL621	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	12/17/2018					7/13/2016	LADDER	PLATFORM	
AL622	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1142.0 (AMPAM) (Responsible: Unassigned)	3/13/2018					7/13/2016	LADDER	PLATFORM	
AL623	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1085.0 (AMPAM) (Responsible: Unassigned)	7/13/2016				Lost	7/13/2016	LADDER	PLATFORM	
AL626	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1094.0 (AMPAM) (Responsible: Unassigned)	1/17/2017				Lost	6/24/2016	LADDER	PLATFORM	
AL629	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	3/5/2018					7/18/2016	LADDER	PLATFORM	
AL630	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	6/27/2018					7/18/2016	LADDER	PLATFORM	
AL631	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)								Broken	7/18/2016	LADDER	PLATFORM	
AL633	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1245.0 (AMPAM) (Responsible: Unassigned)	9/28/2018					7/18/2016	LADDER	PLATFORM	
AL634	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	7/10/2018					6/30/2016	LADDER	PLATFORM	
AL635	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									6/30/2016	LADDER	PLATFORM	
AL637	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	5/8/2018					6/30/2016	LADDER	PLATFORM	
AL639	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1102.0 (AMPAM) (Responsible: Unassigned)	2/9/2017				Lost	6/30/2016	LADDER	PLATFORM	
AL641	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1197.0 (AMPAM) (Responsible: Unassigned)	5/4/2018					6/30/2016	LADDER	PLATFORM	
AL642	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1202.0 VALENTIN (AMPAM) (Responsible: Unassigned)	7/3/2018					6/30/2016	LADDER	PLATFORM	
AL643	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1102.0 (AMPAM) (Responsible: Unassigned)	2/9/2017				Lost	6/30/2016	LADDER	PLATFORM	
AL644	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1208.0 (AMPAM) (Responsible: Unassigned)	1/22/2019					6/30/2016	LADDER	PLATFORM	
AL646	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	12/21/2018					6/30/2016	LADDER	PLATFORM	
AL647	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	10/24/2017					6/30/2016	LADDER	PLATFORM	
AL651	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1148.0 (AMPAM) (Responsible: Unassigned)	9/12/2017					6/30/2016	LADDER	PLATFORM	
AL652	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1069.0 (AMPAM) (Responsible: Unassigned)	6/30/2016				Lost	6/30/2016	LADDER	PLATFORM	
AL653	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1208.0 (AMPAM) (Responsible: Unassigned)	12/26/2018					6/30/2016	LADDER	PLATFORM	
AL655	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1151.0 (AMPAM) (Responsible: Unassigned)	5/11/2018					8/18/2016	LADDER	PLATFORM	
AL656	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1151.0 (AMPAM) (Responsible: Unassigned)	5/11/2018					8/18/2016	LADDER	PLATFORM	
AL658	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	7/2/2018					8/18/2016	LADDER	PLATFORM	
AL660	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1208.0 (AMPAM) (Responsible: Unassigned)	1/22/2019					8/29/2016	LADDER	PLATFORM	
AL662	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1043.0 (AMPAM) (Responsible: Unassigned)	8/29/2016					8/29/2016	LADDER	PLATFORM	
AL664	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	12/17/2018					8/29/2016	LADDER	PLATFORM	
AL667	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/3/2018					8/29/2016	LADDER	PLATFORM	
AL668	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	10/3/2017					10/3/2017	LADDER	PLATFORM	
AL669	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	10/3/2017					10/3/2017	LADDER	PLATFORM	
AL670	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	10/3/2017					10/3/2017	LADDER	PLATFORM	
AL671	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	10/3/2017					10/3/2017	LADDER	PLATFORM	
AL672	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	10/3/2017					10/3/2017	LADDER	PLATFORM	
AL675	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1198.0 (AMPAM) (Responsible: Unassigned)	6/27/2018					10/25/2017	LADDER	PLATFORM	
AL677	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									12/13/2017	LADDER	PLATFORM	
AL678	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	12/21/2018					12/13/2017	LADDER	PLATFORM	
AL679	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1200.0 (AMPAM) (Responsible: Unassigned)	12/13/2017					12/13/2017	LADDER	PLATFORM	
AL680	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1112.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					12/14/2017	LADDER	PLATFORM	
AL681	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1214.0 (AMPAM) (Responsible: Unassigned)	1/4/2019					12/14/2017	LADDER	PLATFORM	
AL682	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1130.0 (AMPAM) (Responsible: Unassigned)	12/14/2017					12/14/2017	LADDER	PLATFORM	
AL683	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1151.0 (AMPAM) (Responsible: Unassigned)	8/30/2018					12/14/2017	LADDER	PLATFORM	
AL685	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1245.0 (AMPAM) (Responsible: Unassigned)	9/20/2018					12/14/2017	LADDER	PLATFORM	
AL686	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	1/28/2019					12/14/2017	LADDER	PLATFORM	
AL688	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	1/29/2019					12/14/2017	LADDER	PLATFORM	
AL689	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									12/14/2017	LADDER	PLATFORM	
AL690	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	8/10/2018					12/14/2017	LADDER	PLATFORM	
AL691	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1202.0 VALENTIN (AMPAM) (Responsible: Unassigned)	7/3/2018					12/14/2017	LADDER	PLATFORM	
AL692	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1214.0 (AMPAM) (Responsible: Unassigned)	2/22/2019					12/14/2017	LADDER	PLATFORM	
AL693	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1214.0 (AMPAM) (Responsible: Unassigned)	1/4/2019					12/14/2017	LADDER	PLATFORM	
AL694	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	12/14/2017					12/14/2017	LADDER	PLATFORM	
AL701	8' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)									1/4/2018	LADDER	A-FRAME	
AL702	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	1/4/2018					1/4/2018	LADDER	PLATFORM	
AL703	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1181.0 (AMPAM) (Responsible: Unassigned)	6/7/2018					1/3/2018	LADDER	PLATFORM	
AL704	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1173.0 (AMPAM) (Responsible: Unassigned)	7/30/2018					1/3/2018	LADDER	PLATFORM	
