Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
JA1033	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD165100009	AMPAM	SOCAL (AMPAM)			1197.0 (AMPAM) (Responsible: Unassigned)	1/14/2019					6/29/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1034	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407D16130047	AMPAM	SOCAL (AMPAM)			1210.0 (AMPAM) (Responsible: Unassigned)	8/29/2018					8/19/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1035	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407D1316062	AMPAM	SOCAL (AMPAM)			1245.0 (AMPAM) (Responsible: Unassigned)	12/13/2018					8/19/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1036	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD162100047	AMPAM	SOCAL (AMPAM)			1157.0 (AMPAM) (Responsible: Unassigned)	8/19/2017					8/19/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1038	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1220.0 (AMPAM) (Responsible: Unassigned)	1/28/2019					8/19/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1039	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)									8/19/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1040	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1069.0 (AMPAM) (Responsible: Unassigned)	8/19/2017				Lost	8/19/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1041	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	10/6/2017					10/6/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1042	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1105.0 (AMPAM) (Responsible: Unassigned)	3/21/2018				Lost	10/6/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1043	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)									10/6/2017	POWER TOOLS	RIGHT ANGLE DRILL	
